X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.550779782469775,44.67043716461508,597,GO,868114,2017-07-20T00:00:00.000Z,LAKEFRONT RD,1430,ASSAULT
-63.564979531217588,44.682208319590437,598,GO,868035,2017-07-20T00:00:00.000Z,A LYNGBY AVE,2120,BREAK AND ENTER
-63.58764677737566,44.641747299178725,599,GO,868017,2017-07-20T00:00:00.000Z,ROBIE ST,2120,BREAK AND ENTER
-63.649929590121125,44.664636120057295,600,GO,868004,2017-07-20T00:00:00.000Z,BRAEMOUNT DR,2142,THEFT FROM VEHICLE
-63.648845328963091,44.650620965636818,601,GO,867984,2017-07-20T00:00:00.000Z,CORONATION AVE,2120,BREAK AND ENTER
-63.533546394261386,44.640836660842268,602,GO,867980,2017-07-20T00:00:00.000Z,PLEASANT ST,2135,THEFT OF VEHICLE
-63.571518297203802,44.682019208232589,603,GO,867989,2017-07-20T00:00:00.000Z,BIRCHWOOD TERR,2120,BREAK AND ENTER
-63.762536547902478,44.825247822479795,604,GO,868312,2017-07-20T00:00:00.000Z,COLGROVE AVE,2142,THEFT FROM VEHICLE
-63.61861204747737,44.603772297949675,605,GO,868304,2017-07-20T00:00:00.000Z,ROCKINGSTONE RD,1430,ASSAULT
-63.762536547902478,44.825247822479795,606,GO,868239,2017-07-20T00:00:00.000Z,COLGROVE AVE,2142,THEFT FROM VEHICLE
-63.664676521573128,44.637609227999661,607,GO,868208,2017-07-20T00:00:00.000Z,CHAIN LAKE DR,2120,BREAK AND ENTER
-63.518868686985186,44.664841321587943,608,GO,868180,2017-07-20T00:00:00.000Z,ROSEWOOD CRT,1430,ASSAULT
-63.592485099902653,44.688670907882532,609,GO,868138,2017-07-20T00:00:00.000Z,HIGHFIELD PARK DR,1420,ASSAULT
-63.688375009422842,44.705339658875936,610,GO,867975,2017-07-20T00:00:00.000Z,NINE MILE DR,1430,ASSAULT
-63.580321752852178,44.672134028591515,611,GO,868284,2017-07-20T00:00:00.000Z,GREEN RD,2142,THEFT FROM VEHICLE
-63.664967549674039,44.796971833793208,612,GO,868006,2017-07-20T00:00:00.000Z,CAPILANO DR,2142,THEFT FROM VEHICLE
-63.6066801540548,44.655456187443498,613,GO,867999,2017-07-20T00:00:00.000Z,CORK ST,2142,THEFT FROM VEHICLE
-63.577565841934764,44.673297388255634,614,GO,868065,2017-07-20T00:00:00.000Z,CANSO LANE,2142,THEFT FROM VEHICLE
-63.694269933081962,44.767501302469178,615,GO,868392,2017-07-21T00:00:00.000Z,OLD SACKVILLE RD,1430,ASSAULT
-63.612120828420842,44.651537105397203,616,GO,868382,2017-07-21T00:00:00.000Z,CORK ST,2142,THEFT FROM VEHICLE
-63.612120828420842,44.651537105397203,617,GO,868371,2017-07-21T00:00:00.000Z,CORK ST,2142,THEFT FROM VEHICLE
-63.607673539842068,44.655245674427348,618,GO,868368,2017-07-21T00:00:00.000Z,DUBLIN ST,2142,THEFT FROM VEHICLE
-63.528425451864528,44.688778567054868,619,GO,868340,2017-07-21T00:00:00.000Z,ROLEIKA DR,1430,ASSAULT
-63.757257407692514,44.820668804391914,620,GO,868228,2017-07-21T00:00:00.000Z,COLGROVE AVE,2142,THEFT FROM VEHICLE
-62.528015286435277,44.920916986962666,621,GO,868224,2017-07-21T00:00:00.000Z,BEHIE RD,1430,ASSAULT
-63.645598715118339,44.655404169199649,622,GO,868214,2017-07-21T00:00:00.000Z,KINGSMERE CRT,1430,ASSAULT
-63.680418630053069,44.772916215596368,623,GO,868409,2017-07-21T00:00:00.000Z,SYCAMORE LANE,2120,BREAK AND ENTER
-63.575599095604524,44.6479414774495,624,GO,868223,2017-07-21T00:00:00.000Z,ARGYLE ST,1420,ASSAULT
